discount_factor,compactness_mean,compactness_range,area_error,compactness_error,combined_error
0.80,0.50,0.20,0.65,0.42,0.54
0.80,0.30,0.20,0.63,0.44,0.54
0.80,0.80,0.05,0.63,0.46,0.55
0.80,0.80,0.20,0.66,0.44,0.55
0.80,0.30,0.05,0.67,0.44,0.55
0.80,0.50,0.05,0.65,0.48,0.57
0.50,0.80,0.20,0.66,0.48,0.57
0.50,0.50,0.20,0.69,0.47,0.58
0.50,0.30,0.20,0.69,0.48,0.58
0.50,0.30,0.05,0.70,0.48,0.59
0.50,0.50,0.05,0.70,0.53,0.62
0.50,0.80,0.05,0.71,0.58,0.64
0.20,0.30,0.20,0.97,0.73,0.85
0.20,0.50,0.20,0.99,0.82,0.91
0.20,0.50,0.05,0.97,0.84,0.91
0.20,0.30,0.05,1.00,0.85,0.92
0.20,0.80,0.20,0.98,0.87,0.93
0.20,0.80,0.05,0.99,1.00,0.99
